school_name,department_name,program_code,program_name,research_direction,exam_year,planned_enrollment,recommended_exemption_count,unified_exam_quota,actual_enrollment,is_cross_major_allowed,memo,source_confidence
西安电子科技大学,计算机科学与技术学院,081200,计算机科学与技术,,2024,119,71,14,,,2025 年入学招生计划；总 119 人含推免 71、统考计划 14。,official
西安电子科技大学,计算机科学与技术学院,083900,网络空间安全,,2024,33,25,5,,,2025 年入学招生计划；总 33 人含推免 25、统考计划 5。,official
西安电子科技大学,计算机科学与技术学院,085404,计算机技术,,2024,278,92,91,,,2025 年入学招生计划；总 278 人含推免 92、统考计划 91。,official
西安电子科技大学,计算机科学与技术学院,085412,网络与信息安全,,2024,52,18,17,,,2025 年入学招生计划；总 52 人含推免 18、统考计划 17。,official
