school_name,department_name,program_name,program_code,degree_type,discipline_category,research_direction,exam_math_required,duration_years,tuition_per_year,notes,status
西安电子科技大学,计算机科学与技术学院,计算机科学与技术,081200,academic,工学,,true,3.0,8000.00,按 2025 年入学招生专业目录与复试分数线整理；学费按学术学位标准。,active
西安电子科技大学,计算机科学与技术学院,网络空间安全,083900,academic,工学,,true,3.0,8000.00,按 2025 年入学招生专业目录整理；学费按学术学位标准。,active
西安电子科技大学,计算机科学与技术学院,计算机技术,085404,professional,工学,,true,3.0,10000.00,专业学位；按 2025 年入学招生专业目录与复试分数线整理。,active
西安电子科技大学,计算机科学与技术学院,网络与信息安全,085412,professional,工学,,true,3.0,10000.00,专业学位；按 2025 年入学招生专业目录整理。,active
