school_name,department_name,program_code,program_name,research_direction,exam_year,score_line_type,total_score,politics_score,english_score,subject_one_score,subject_two_score,notes,source_confidence
湖南大学,信息科学与工程学院,081200,计算机科学与技术,,2024,school,290,42,42,60,60,学校统一公布的 2024 年复试基本要求；工学学术学位线。,official
湖南大学,信息科学与工程学院,085404,计算机技术,,2024,school,280,40,40,65,65,学校统一公布的 2024 年复试基本要求；电子信息专业学位线。,official
湖南大学,信息科学与工程学院,085405,软件工程,,2024,school,280,40,40,65,65,学校统一公布的 2024 年复试基本要求；电子信息专业学位线。,official
湖南大学,信息科学与工程学院,085410,人工智能,,2024,school,280,40,40,65,65,学校统一公布的 2024 年复试基本要求；电子信息专业学位线。,official
湖南大学,信息科学与工程学院,085411,大数据技术与工程,,2024,school,280,40,40,65,65,学校统一公布的 2024 年复试基本要求；电子信息专业学位线。,official
湖南大学,信息科学与工程学院,085412,网络与信息安全,,2024,school,280,40,40,65,65,学校统一公布的 2024 年复试基本要求；电子信息专业学位线。,official
