school_name,department_name,program_code,program_name,research_direction,exam_year,planned_enrollment,recommended_exemption_count,unified_exam_quota,actual_enrollment,is_cross_major_allowed,memo,source_confidence
南京理工大学,计算机科学与工程学院,081200,计算机科学与技术,,2024,38,30,,35,,招生计划 38 人含推免 30 人；复试录取实施细则公布拟录取 35 人（不含推免生）。,official
南京理工大学,计算机科学与工程学院,083500,软件工程,,2024,18,11,,7,,招生计划 18 人含推免 11 人；复试录取实施细则公布拟录取 7 人（不含推免生）。,official
南京理工大学,计算机科学与工程学院,085404,计算机技术,,2024,130,4,,126,,招生计划 130 人含推免 4 人；复试录取实施细则公布拟录取 126 人（不含推免生）。,official
南京理工大学,计算机科学与工程学院,085405,软件工程,,2024,48,9,,39,,招生计划 48 人含推免 9 人；复试录取实施细则公布拟录取 39 人（不含推免生）。,official
南京理工大学,计算机科学与工程学院,085410,人工智能,,2024,6,1,,5,,招生计划 6 人含推免 1 人；复试录取实施细则公布拟录取 5 人（不含推免生）。,official
南京理工大学,计算机科学与工程学院,085411,大数据技术与工程,,2024,4,,,4,,招生计划 4 人；复试仅 1 人上线，最终录取 4 人（含校内调剂）。数据量小，录取口径特殊。,official
