school_name,department_name,program_code,program_name,research_direction,exam_year,applicant_count,actual_exam_count,admitted_count,application_ratio,notes,source_confidence
南京理工大学,计算机科学与工程学院,081200,计算机科学与技术,,2024,123,,35,3.51,进入复试 123 人，拟录取 35 人（不含推免）；由官方进入复试人数/拟录取人数计算。报考人数（初始报名人数）官方未披露。,official
南京理工大学,计算机科学与工程学院,083500,软件工程,,2024,31,,7,4.43,进入复试 31 人，拟录取 7 人（不含推免）；由官方进入复试人数/拟录取人数计算。,official
南京理工大学,计算机科学与工程学院,085404,计算机技术,,2024,289,,126,2.29,进入复试 289 人，拟录取 126 人（不含推免）；由官方进入复试人数/拟录取人数计算。,official
南京理工大学,计算机科学与工程学院,085405,软件工程,,2024,107,,39,2.74,进入复试 107 人，拟录取 39 人（不含推免）；由官方进入复试人数/拟录取人数计算。,official
南京理工大学,计算机科学与工程学院,085410,人工智能,,2024,12,,5,2.40,进入复试 12 人，拟录取 5 人（不含推免）；由官方进入复试人数/拟录取人数计算。,official
南京理工大学,计算机科学与工程学院,085411,大数据技术与工程,,2024,1,,4,0.25,进入复试仅 1 人，最终录取 4 人（含校内调剂）。口径特殊，不具一般参考意义。,official
