school_name,department_name,program_code,program_name,research_direction,exam_year,source_type,title,url,publisher_name,published_at,last_verified_at,status,source_confidence,notes
华东理工大学,信息科学与工程学院,081200,计算机科学与技术,,2024,catalog,2024年学术学位硕士研究生招生专业目录,https://gschool.ecust.edu.cn/_upload/article/files/f6/b5/1f5ed05249009429adfc918796b0/e6d28ed5-529d-4b90-bf0f-018bb379924d.pdf,华东理工大学研究生院,,2026-05-19 10:00:00+08:00,active,official,用于确认专业代码、院系归属与统考科目口径。
华东理工大学,信息科学与工程学院,081200,计算机科学与技术,,2024,brochure,华东理工大学2024年硕士研究生招生简章,https://gschool.ecust.edu.cn/2023/0922/c12708a160453/page.htm,华东理工大学研究生院,2023-09-22,2026-05-19 10:00:00+08:00,active,official,用于确认学制与学费标准。
华东理工大学,信息科学与工程学院,081200,计算机科学与技术,,2024,retest_rule,华东理工大学信息科学与工程学院2024年硕士研究生招生复试录取实施细则,https://cise.ecust.edu.cn/2024/0325/c7691a166928/page.htm,华东理工大学信息科学与工程学院,2024-03-25,2026-05-19 10:00:00+08:00,active,official,用于确认学院级复试规则与复试范围。
华东理工大学,信息科学与工程学院,081200,计算机科学与技术,,2024,official_notice,华东理工大学关于公布2024年硕士研究生招生考试复试分数线的通知,https://gschool.ecust.edu.cn/_upload/article/files/d6/1a/c59e63204183b0118c71d1f3f606/4a6ab688-f69d-421d-a7f1-f04190f6ef4c.pdf,华东理工大学研究生院,,2026-05-19 10:00:00+08:00,active,official,用于确认学校线 340/50/50/80/80。
华东理工大学,信息科学与工程学院,081200,计算机科学与技术,,2024,official_notice,计算机科学与技术学位授权点建设年度报告（2024）,https://cise.ecust.edu.cn/_upload/article/files/0f/37/45f44f1c42b083f7b580a07bf053/%E5%AD%A6%E4%BD%8D%E6%8E%88%E6%9D%83%E7%82%B9%E5%BB%BA%E8%AE%BE%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A%EF%BC%88%E8%AE%A1%E7%AE%97%E6%9C%BA%E7%A7%91%E5%AD%A6%E4%B8%8E%E6%8A%80%E6%9C%AF%EF%BC%892024%E5%B9%B4%E5%BA%A6.pdf,华东理工大学信息科学与工程学院,,2026-05-23 10:00:00+08:00,active,official,用于确认 2024 计划/实际招生与推免、普通招考人数。
华东理工大学,信息科学与工程学院,081200,计算机科学与技术,,2024,official_notice,信息科学与工程学院关于调整自命题科目的情况说明,https://cise.ecust.edu.cn/2024/0429/c7692a167069/page.htm,华东理工大学信息科学与工程学院,2024-04-29,2026-05-23 12:00:00+08:00,active,official,说明 2025 年起 815 调整为 408；2024 年目录仍按 815 整理初试科目。
