school_name,department_name,program_code,program_name,research_direction,exam_year,sequence_no,subject_role,subject_code_text,subject_name_text,subject_code,notes
华东理工大学,信息科学与工程学院,081200,计算机科学与技术,,2024,1,politics,101,思想政治理论,101,依据 2024 学术学位招生专业目录统考科目。
华东理工大学,信息科学与工程学院,081200,计算机科学与技术,,2024,2,english,201,英语（一）,201,依据 2024 学术学位招生专业目录统考科目。
华东理工大学,信息科学与工程学院,081200,计算机科学与技术,,2024,3,math,301,数学（一）,301,依据 2024 学术学位招生专业目录统考科目。
华东理工大学,信息科学与工程学院,081200,计算机科学与技术,,2024,4,major_2,815,计算机专业基础综合,815,2024 年为学院自命题 815；2025 年起调整为 408，见学院说明。
