school_name,department_name,program_code,program_name,research_direction,exam_year,planned_enrollment,recommended_exemption_count,unified_exam_quota,actual_enrollment,is_cross_major_allowed,memo,source_confidence
北京交通大学,计算机与信息技术学院,081200,计算机科学与技术,,2024,121,95,,,,招生计划 121 人含推免 95 人；来源于 2025 年入学招生专业目录。,official
北京交通大学,计算机与信息技术学院,083500,软件工程,,2024,4,1,,,,招生计划 4 人含推免 1 人；来源于 2025 年入学招生专业目录。,official
北京交通大学,计算机与信息技术学院,085404,计算机技术,,2024,100,60,,,,招生计划 100 人含推免 60 人（含退役大学生士兵计划 10 人）；来源于 2025 年入学招生专业目录。,official
北京交通大学,计算机与信息技术学院,085410,人工智能,,2024,40,32,,,,招生计划 40 人含推免 32 人；来源于 2025 年入学招生专业目录。,official
