school_name,department_name,program_code,program_name,research_direction,exam_year,sequence_no,subject_role,subject_code_text,subject_name_text,subject_code,notes
暨南大学,信息科学技术学院,081200,计算机科学与技术,,2024,1,politics,101,思想政治理论,101,依据 2024 年招生专业目录。
暨南大学,信息科学技术学院,081200,计算机科学与技术,,2024,2,english,201,英语（一）,201,依据 2024 年招生专业目录。
暨南大学,信息科学技术学院,081200,计算机科学与技术,,2024,3,math,301,数学（一）,301,依据 2024 年招生专业目录。
暨南大学,信息科学技术学院,081200,计算机科学与技术,,2024,4,major_1,408,计算机学科专业基础,408,2024 年起改为全国统考 408。
暨南大学,信息科学技术学院,085404,计算机技术,,2024,1,politics,101,思想政治理论,101,依据 2024 年招生专业目录。
暨南大学,信息科学技术学院,085404,计算机技术,,2024,2,english,204,英语（二）,204,依据 2024 年招生专业目录。
暨南大学,信息科学技术学院,085404,计算机技术,,2024,3,math,302,数学（二）,302,依据 2024 年招生专业目录。
暨南大学,信息科学技术学院,085404,计算机技术,,2024,4,major_1,408,计算机学科专业基础,408,2024 年起改为全国统考 408。
