school_name,department_name,program_code,program_name,research_direction,exam_year,score_line_type,total_score,politics_score,english_score,subject_one_score,subject_two_score,notes,source_confidence
合肥工业大学,计算机与信息学院,081200,计算机科学与技术,,2025,school,337,35,35,53,53,2026 年入学学校统一复试分数线；学院代码 005。,official
合肥工业大学,计算机与信息学院,085404,计算机技术,,2025,school,358,35,35,53,53,2026 年入学学校统一复试分数线。,official
合肥工业大学,计算机与信息学院,085405,软件工程,,2025,school,272,35,35,53,53,2026 年入学学校统一复试分数线；非全日制。,official
合肥工业大学,计算机与信息学院,085410,人工智能,,2025,school,356,35,35,53,53,2026 年入学学校统一复试分数线。,official
