school_name,department_name,program_code,program_name,research_direction,exam_year,planned_enrollment,recommended_exemption_count,unified_exam_quota,actual_enrollment,is_cross_major_allowed,memo,source_confidence
合肥工业大学,计算机与信息学院,081200,计算机科学与技术,,2025,40,,,,,2026 年入学招生计划；学术学位全日制。,official
合肥工业大学,计算机与信息学院,085404,计算机技术,,2025,41,,,,,2026 年入学招生计划；专业学位全日制。,official
合肥工业大学,计算机与信息学院,085405,软件工程,,2025,15,,,,,2026 年入学招生计划；专业学位非全日制。,official
合肥工业大学,计算机与信息学院,085410,人工智能,,2025,46,,,,,2026 年入学招生计划；专业学位全日制。,official
