school_name,department_name,program_name,program_code,degree_type,discipline_category,research_direction,exam_math_required,duration_years,tuition_per_year,notes,status
合肥工业大学,计算机与信息学院,计算机科学与技术,081200,academic,工学,,true,3.0,8000.00,按 2026 年入学招生计划与复试分数线整理；数据来源为研究生院官网。,active
合肥工业大学,计算机与信息学院,计算机技术,085404,professional,工学,,true,3.0,11000.00,专业学位；按 2026 年入学招生计划与复试分数线整理。,active
合肥工业大学,计算机与信息学院,软件工程,085405,professional,工学,,true,3.0,11000.00,专业学位（非全日制）；按 2026 年入学招生计划与复试分数线整理。,active
合肥工业大学,计算机与信息学院,人工智能,085410,professional,工学,,true,3.0,11000.00,专业学位；按 2026 年入学招生计划与复试分数线整理。,active
